In_analyses,Name_in_Duchene,NameInTree,Brain.size,M.avgBL,M.avgWT,F.avgBL,F.avgWT,  ,F.logBL,M.logWT,M.logBL,Genus species,M.minBL,M.maxBL,F.minBL,F.maxBL,M.minWT,M.maxWT,F.minWT,F.maxWT,M.BC,M.logBC,F.logBC,Biome,Habitat,Ecology
Yes,Dasyuridae_Sminthopsis_macroura,Sminthopsis_psammophila,0.8,99.5,40.5,89.5,33.5,1.525044807,1.951823035,1.607455023,1.997823081,Sminthopsis psammophila        ,85,114,75,104,26,55,25,42,2.456790123,0.390368058,,,,
Yes,Phalangeridae_Spilocuscus_maculatus,Spilocuscus_maculatus,13.4,464,3200,464,3200,3.505149978,2.666517981,3.505149978,2.666517981,Spilocuscus maculatus          ,348,580,348,580,1500,4900,1500,4900,0.145,-0.838631998,,,,
Yes,Phalangeridae_Strigocuscus_pelengensis,Strigocuscus_pelengensis,7.37,325,800,275,650,2.812913357,2.439332694,2.903089987,2.511883361,Strigocuscus pelengensis       ,300,350,250,300,,800,,650,0.40625,-0.391206626,,,,
Yes,Tarsipedidae_Tarsipes_rostratus,Tarsipes_rostratus,0.36,75,9,80,12,1.079181246,1.903089987,0.954242509,1.875061263,Tarsipes rostratus             ,65,85,70,90,7,11,8,16,8.333333333,0.920818754,,,,
Yes,Thylacinidae_Thylacinus_cynocephalus,Thylacine_cynocephalus,51.19,1150,25000,,,,,,,,,,,,,,,,,,,,,
Yes,Phalangeridae_Trichosurus_vulpecula,Trichosurus_vulpecula,11,450,2900,450,2350,3.371067862,2.653212514,3.462397998,2.653212514,Trichosurus vulpecula          ,350,550,350,550,1300,4500,1200,3500,0.155172414,-0.809185484,,,,
Yes,Vombatidae_Vombatus_ursinus,Vombatus_ursinus,59,995,30500,995,30500,4.484299839,2.997823081,4.484299839,2.997823081,Vombatus ursinus               ,840,1150,840,1150,22000,39000,22000,39000,0.032622951,-1.486476759,,,,
Yes,Macropodidae_Wallabia_bicolor,Wallabia_bicolor,32.9,785,16400,707.5,12850,4.108903128,2.849726444,4.214843848,2.894869657,Wallabia bicolor               ,723,847,665,750,12300,20500,10300,15400,0.047865854,-1.319974191,,,,
,,Ailurops_ursinus,,587,8.5,587,8.5,0.929418926,2.768638101,0.929418926,2.768638101,Ailurops ursinus               ,564,610,564,610,7,10,7,10,69.05882353,1.839219176,,,,
,,Antechinomys_laniger,,90,30,82.5,20,1.301029996,1.916453949,1.477121255,1.954242509,Antechinomys laniger           ,80,100,70,95,30,,20,,3,0.477121255,,,,
,,Antechinus_agilis,,94.5,30,95,20.5,1.311753861,1.977723605,1.477121255,1.975431809,Antechinus agilis              ,65,124,62,128,20,40,16,25,3.15,0.498310554,,,,
,,Antechinus_bellus,,134.5,54,120,33.5,1.525044807,2.079181246,1.73239376,2.128722284,Antechinus bellus              ,121,148,110,130,42,66,26,41,2.490740741,0.396328525,,,,
,,Antechinus_flavipes,,129,52.5,106.5,36.5,1.562292864,2.027349608,1.720159303,2.11058971,Antechinus flavipes            ,93,165,86,127,26,79,21,52,2.457142857,0.390430407,,,,
,,Antechinus_godmani,,133,85.5,123.5,102,2.008600172,2.091666958,1.931966115,2.123851641,Antechinus godmani             ,110,156,117,130,48,123,92,112,1.555555556,0.191885526,,,,
,,Antechinus_leo,,151,95.5,122.5,53,1.72427587,2.088136089,1.980003372,2.178976947,Antechinus leo                 ,142,160,109,136,67,124,32,74,1.581151832,0.198973576,,,,
,,Antechinus_minimus,,121.5,89.5,107.5,52,1.716003344,2.031408464,1.951823035,2.084576278,Antechinus minimus             ,103,140,98,117,50,129,36,68,1.357541899,0.132753243,,,,
,,Antechinus_swainsonii,,145.5,110.5,114.5,68.5,1.835690571,2.058805487,2.043362278,2.162862993,Antechinus swainsonii          ,103,188,89,140,43,178,37,100,1.316742081,0.119500715,,,,
,,Cercartetus_concinnus,,85,14.5,85,14.5,1.161368002,1.929418926,1.161368002,1.929418926,Cercartetus concinnus          ,64,106,64,106,8,21,8,21,5.862068966,0.768050923,,,,
,,Cercartetus_lepidus,,61.5,8,61.5,8,0.903089987,1.788875116,0.903089987,1.788875116,Cercartetus lepidus            ,50,73,50,73,6,10,6,10,7.6875,0.885785129,,,,
,,Dactylopsila_palpator,,235,383.5,235,383.5,2.583765368,2.371067862,2.583765368,2.371067862,Dactylopsila palpator          ,235,,235,,369,398,369,398,0.612777053,-0.212697506,,,,
,,Dactylopsila_trivirgata,,262,486.5,262,392.5,2.593839661,2.418301291,2.687082845,2.418301291,Dactylopsila trivirgata        ,262,,262,,428,545,310,475,0.538540596,-0.268781553,,,,
,,Dasycercus_cristicauda,,180,147.5,145,92.5,1.966141733,2.161368002,2.16879202,2.255272505,Dasycercus cristicauda         ,130,230,120,170,110,185,65,120,1.220338983,0.086480485,,,,
,,Dasykaluta_rosamondae,,102.5,32.5,95,25,1.397940009,1.977723605,1.511883361,2.010723865,Dasykaluta rosamondae          ,95,110,90,100,25,40,20,30,3.153846154,0.498840504,,,,
,,Dasyuroides_byrnei,,160,130,147.5,105,2.021189299,2.16879202,2.113943352,2.204119983,Dasyuroides byrnei             ,140,180,135,160,85,175,70,140,1.230769231,0.09017663,,,,
,,Dasyurus_albopunctatus,,270,636.5,270,636.5,2.803798408,2.431363764,2.803798408,2.431363764,Dasyurus albopunctatus         ,270,,270,,603,670,603,670,0.424194815,-0.372434644,,,,
,,Dasyurus_hallucatus,,320,730,279.5,465,2.667452953,2.446381812,2.86332286,2.505149978,Dasyurus hallucatus            ,270,370,249,310,340,1120,240,690,0.438356164,-0.358172882,,,,
,,Dasyurus_spartacus,,356,885,356,885,2.946943271,2.551449998,2.946943271,2.551449998,Dasyurus spartacus             ,356,,356,,885,,885,,0.402259887,-0.395493273,,,,
,,Dasyurus_viverrinus,,385,1400,340,205,2.311753861,2.531478917,3.146128036,2.58546073,Dasyurus viverrinus            ,320,450,280,400,900,1900,170,240,0.275,-0.560667306,,,,
,,Dendrolagus_dorianus,,735,12600,622.5,8450,3.926856709,2.794139356,4.100370545,2.866287339,Dendrolagus dorianus           ,720,750,540,705,11500,13700,6300,10600,0.058333333,-1.234083206,,,,
,,Dendrolagus_goodfellowi,,710,8000,615,7400,3.86923172,2.788875116,3.903089987,2.851258349,Dendrolagus goodfellowi        ,650,770,550,680,8000,,7400,,0.08875,-1.051831638,,,,
,,Dendrolagus_lumholtzi,,615,7625,547.5,6425,3.807873132,2.738384124,3.882239848,2.788875116,Dendrolagus lumholtzi          ,520,710,420,675,5400,9850,5100,7750,0.080655738,-1.093364732,,,,
,,Dendrolagus_matschiei,,600,10500,555,7500,3.875061263,2.744292983,4.021189299,2.77815125,Dendrolagus matschiei          ,570,630,530,580,8000,13000,6000,9000,0.057142857,-1.243038049,,,,
,,Dorcopsis_spp.,,835,8800,662.5,4800,3.681241237,2.821185883,3.944482672,2.921686475,Dorcopsis spp.                 ,700,970,525,800,6000,11600,3600,6000,0.094886364,-1.022796197,,,,
,,Echymipera_clara,,225,1325,225,825,2.916453949,2.352182518,3.122215878,2.352182518,Echymipera clara               ,150,300,150,300,650,2000,650,1000,0.169811321,-0.77003336,,,,
,,Echymipera_rufescens,,379,1375,315,750,2.875061263,2.498310554,3.138302698,2.57863921,Echymipera rufescens           ,278,480,215,415,525,2225,300,1200,0.275636364,-0.559663488,,,,
,,Gymnobelideus_leadbeateri,,160,117.5,160,138,2.139879086,2.204119983,2.070037867,2.204119983,Gymnobelideus leadbeateri      ,150,170,150,170,100,135,110,166,1.361702128,0.134082116,,,,
,,Hemibelideus_lemuroides,,337.5,945,356.5,1010,3.004321374,2.552059534,2.975431809,2.528273777,Hemibelideus lemuroides        ,315,360,313,400,810,1080,850,1170,0.357142857,-0.447158031,,,,
