Trait1,Trait2,Category,Corr.100x100.Low,BF.100x100.Low,Corr.100x100.Mid,BF.100x100.Mid,Corr.100x100.High,BF.100x100.High,Corr.Astral,BF.Astral,BF.Astral.Untransformed,Corr.Astral.Untransformed,BF.SVD,Corr.SVD,BF.RAxML,Corr.RAxML,Contemporary.Corr,Contemporary.P
leafarea,mat,trait-envi,-0.136854944,0.111514,0.182073167,2.519788,0.44631737,11.5739,0.3335,6.2838,1.9573,-0.1849,1.1478,-0.1425,5.2167,-0.2903,0.146218473,0.273418125
leafarea,pet,trait-envi,-0.350048186,7.621372,-0.089589294,0.476372,0.242825649,3.533388,-0.1475,0.8674,1.3411,0.1493,3.0929,0.2085,7.9345,0.3606,-0.178724417,0.179488667
leafarea,rfl2mm,trait-envi,-0.163894788,1.242166,0.145735558,0.816074,0.398664281,9.738292,0.2222,2.2792,1.9755,-0.2128,4.6162,-0.2708,11.0056,-0.4144,0.258081096,0.050468005
leafarea,rflcv,trait-envi,-0.410077697,9.801246,-0.138939176,0.784356,0.124745737,1.042892,-0.166,4.8526,1.3544,0.1563,0.9796,0.1407,0.1616,0.0343,-0.150823566,0.258428694
leafarea,summer,trait-envi,-0.258083563,3.559776,-0.037799387,-0.15463,0.214912374,2.52924,-0.0916,-0.0157,0.8554,-0.1355,-0.0184,-0.015,2.9178,-0.218,0.258693523,0.049904471
leafarea,tmax,trait-envi,-0.307243049,6.22303,0.105121679,0.104032,0.439248368,12.030268,0.202,2.2393,-0.0979,0.0373,1.3924,0.1927,-0.7693,-0.0422,-0.134488739,0.314164886
leafarea,tmin,trait-envi,0.173673444,1.933024,0.277237831,4.459694,0.355309428,5.199118,0.2723,4.155,1.7086,0.1769,4.2258,0.267,9.0506,0.3828,0.081496428,0.543081152
leafarea,tvar,trait-envi,-0.324621135,4.770322,-0.089195401,0.159908,0.202274984,3.608632,-0.1858,1.5439,1.4774,-0.1458,1.521,-0.1486,6.5454,-0.3393,-0.215782415,0.103778563
wood,lma,trait-trait,0.120660905,1.12983,0.237559557,3.716572,0.329759082,7.258434,0.203,3.1956,3.0181,0.2742,2.5791,0.2633,3.5974,0.272,0.217486551,0.101011827
wood,lwr,trait-trait,-0.153578864,1.536028,-0.058227367,0.270466,0.034606021,-0.30432,-0.0536,0.3949,1.4463,-0.0812,-0.182,-0.0422,1.378,0.0482,0.148281658,0.266632524
